id;created;category_id;pattern_id;instanz_nr;atricle_nr_red;pattern_ref;order_nr;color_garn_vendor_ref;length;foto_mi;foto_ma;foto_red;owner;storage_web;storage;price_red;selled_dt;present_dt;remarks;remarks_article
169;2014-12-13;1;22;1;22.32;1236;;c280,c249,c100;12.5;;;1;2;1;1;7.00;;;;
170;2014-12-13;1;22;1;22.33;1236;;c244,c172,c110;13.5;;;1;2;1;1;7.00;;;;
171;2014-12-13;1;22;1;22.34;1236;;c244,g198,c245;13.0;;;1;2;1;1;7.00;;;;
172;2014-12-19;1;22;1;22.35;1236;;;12.5;;;1;2;;;7.00;2014-12-20;;;
173;2014-12-19;1;22;1;22.36;1236;;c146,c110;13.0;;;1;2;1;1;7.00;;;;
174;2014-12-20;1;22;1;22.37;1236;;c201,c172,c110;13.0;;;1;2;1;1;7.00;;;;
175;2014-12-20;1;22;1;22.38;1236;;;13.0;;;;2;;;7.00;;2014-12-01;Geschenk;
176;2015-01-01;1;22;1;22.39;1236;;c389,g118,g88;13.0;;;1;2;1;1;7.00;;;;
177;2015-01-01;1;22;1;22.4;1236;;c388,g159,g114;12.5;;;1;2;1;1;7.00;;;;
178;2015-01-01;1;22;1;22.41;1236;;g120,g178,g25;13.0;;;1;2;1;1;7.00;;;;
179;2015-01-01;1;22;1;22.42;1236;;g120,c106,g28;12.5;;;1;2;1;1;7.00;;;;
180;2015-01-01;1;22;1;22.43;1236;;sx-pistazie,g213,c212;13.5;;;1;2;1;1;7.00;;;;
181;2015-01-01;1;22;1;22.44;1236;;g9,g166,g185;12.5;;;1;2;1;1;7.00;;;;
182;2015-01-01;1;22;1;22.45;1236;;g70,c263,g99;12.5;;;1;2;1;1;7.00;;;;
183;2015-01-01;1;22;1;22.46;1236;;c192,c106,c115;13.0;;;1;2;1;1;7.00;;;Preisreduktion da Fehler (Seite verdreht);
184;2015-02-21;1;22;1;22.47;1236;;c261,c110,q11;13.5;;;1;1;1;1;7.00;;;;
185;2015-02-21;1;22;1;22.48;1236;;sx-wolke,c106,c162;13.0;;;1;1;1;1;7.00;;;;
186;2015-02-21;1;22;1;22.49;1236;;sx-pistazie,c201;13.0;;;1;1;1;1;7.00;;;;
187;2015-02-21;1;22;1;22.5;1236;;g198,c115,q16;13.5;;;1;2;1;1;7.00;;;;
188;2015-02-21;1;22;1;22.51;1236;;c245,c192,c205;14.0;;;1;2;1;1;7.00;;;;
189;2015-02-21;1;22;1;22.52;1236;;g109,g164;12.0;;;1;2;1;1;7.00;;;;
190;2015-02-21;1;22;1;22.53;1236;;c115,g120,c192;13.0;;;1;2;1;1;7.00;;;;
191;2015-02-21;1;22;1;22.54;1236;;c106,g70,c172;13.5;;;1;2;1;1;7.00;;;;
192;2015-02-21;1;22;1;22.55;1236;;c113,c106;14.0;;;1;2;1;1;7.00;;;;
193;2015-02-21;1;22;1;22.56;1236;;g160,c110,g114;13.5;;;1;2;1;1;7.00;;;;
